,place names,coordinates
272,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983)"
273,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
274,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864)"
275,"Westminster, Millbank, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398)"
276,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
277,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
278,"Tower Hamlets, Dover, Kent, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686)"
279,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
280,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983)"
281,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911)"
282,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864)"
283,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
284,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
285,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
286,"Enfield, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175)"
287,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949)"
288,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
289,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
290,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
291,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983)"
292,"Epping Forest, London Borough of Waltham Forest, London, Essex, Greater London, England, United Kingdom","(51.6676884, 0.054801129257444646)"
293,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
294,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983)"
